日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-09,ST,grass,好/快,1200,174,08,非凡豪傑,1,3,8,45.17,45.77,-0.88,23.35,1.0,69.12,0.12,2 2 8,耀寶,河好運,風雲武士,蔡明紹,班德禮,3,118,135
2024-12-26,HV,grass,好,1200,295,06,非凡豪傑,1,3,8,45.96,47.08,0.03,22.65,0.1,69.73,0.13,10 10 6,晨曦儷人,美麗緣分,雪勇神駒,蔡明紹,班德禮,3,120,135
2025-01-15,HV,grass,好,1200,355,08,非凡豪傑,1,3,2,47.1,47.74,0.69,22.85,0.3,70.59,0.99,10 11 8,撼天鐵翼,晨曦儷人,耀寶駒,蔡明紹,班德禮,3,116,135
2025-02-19,HV,grass,好,1650,441,02,非凡豪傑,1,3,9,75.78,76.58,0.73,23.35,-0.9,99.93,-0.17,12 12 12 2,論文,非凡豪傑,魔法速遞,杜苑欣,班德禮,4,134,135
2025-03-19,HV,grass,好/快,1650,521,04,非凡豪傑,1,3,2,75.12,75.56,-0.09,23.64,-0.61,99.2,-0.7,4 3 6 4,獨角獸,紅海勁,星價,班德禮,班德禮,3,118,135
2025-04-09,HV,grass,好/快,1650,579,01,非凡豪傑,1,3,1,75.56,75.72,0.07,23.54,-0.71,99.26,-0.64,5 3 2 1,非凡豪傑,黑桃火箭,至高心得,班德禮,班德禮,3,117,135
2025-04-30,HV,grass,好/快,1650,637,02,非凡豪傑,1,3,10,75.12,75.52,-0.13,23.45,-0.8,98.97,-0.93,5 5 5 2,有財有勢,非凡豪傑,駟跑得,班德禮,班德禮,3,125,135
2025-05-28,HV,grass,好/快,1650,714,05,非凡豪傑,1,3,8,74.8,74.84,-0.81,24.33,0.08,99.17,-0.73,2 2 2 5,銀進,爆得美麗,唯美主義,班德禮,班德禮,3,124,135
2025-06-22,ST,grass,好,1400,777,01,非凡豪傑,1,3,3,57.8,58.12,-0.38,22.98,-0.17,81.1,-0.55,8 9 6 1,非凡豪傑,綠野飛馳,一定超,班德禮,班德禮,3,127,135
2025-09-28,ST,grass,好/快,1400,054,11,非凡豪傑,1,3,5,58.66,58.98,0.48,23.26,0.11,82.24,0.59,7 7 5 11,同樣美麗,南區之星,醒目先駒,班德禮,班德禮,3,133,135
2025-10-19,ST,grass,好/快,1400,112,10,非凡豪傑,1,3,4,57.3,57.9,-0.6,23.64,0.49,81.54,-0.11,9 7 7 10,駿奕快車,大眾福星,哈羅威,班德禮,班德禮,3,130,135
2025-11-19,HV,grass,好,1650,197,02,非凡豪傑,1,3,4,75.09,75.49,-0.16,23.98,-0.27,99.47,-0.43,5 6 6 2,勁好運,非凡豪傑,暴風之子,班德禮,班德禮,3,132,135
2025-12-10,HV,grass,好,1650,251,02,非凡豪傑,1,3,5,75.99,76.63,0.98,23.45,-0.8,100.08,0.18,7 6 6 2,銀亮奔騰,非凡豪傑,勁沙塵,潘頓,班德禮,3,134,135
2026-01-18,ST,grass,好/快,1400,363,10,非凡豪傑,1,3,1,58.59,59.11,0.61,23.16,0.01,82.27,0.62,7 6 7 10,天星,綠野飛馳,做好自己,班德禮,班德禮,3,134,135
