日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-10-06,ST,grass,好/快,1000,078,01,八仟財陞,3,1,6,34.73,34.97,-0.93,22.2,1.45,57.17,0.52,7 5 1,八仟財陞,辣得金,精彩勇士,梁家俊,梁家俊,4,129,135
2024-11-09,ST,grass,好,1200,168,05,八仟財陞,3,1,13,45.79,47.07,0.17,22.69,0.24,69.76,0.41,13 13 5,手錶之星,馬鳳凰,祥龍駒,梁家俊,梁家俊,4,135,135
2024-12-22,ST,grass,好,1200,281,05,八仟財陞,3,1,11,46.03,47.11,0.21,22.49,0.04,69.6,0.25,12 13 5,天賜喜,新力好,熾烈神駒,梁家俊,梁家俊,4,135,135
2025-01-12,ST,grass,好,1400,341,07,八仟財陞,3,1,14,58.53,58.85,0.25,23.87,0.47,82.72,0.72,3 3 5 7,至尊高超,幸運芙蓉,衝上雲霄,梁家俊,梁家俊,4,135,135
2025-02-09,ST,grass,好,1400,408,02,八仟財陞,3,1,7,59.67,60.03,1.43,22.68,-0.72,82.71,0.71,6 5 5 2,威武年代,八仟財陞,醒目先駒,潘頓,梁家俊,4,135,135
2025-03-02,ST,grass,好,1400,470,04,八仟財陞,3,1,4,58.89,59.61,1.01,22.58,-0.82,82.19,0.19,4 7 9 4,幸運芙蓉,開心五月,精益大師,莫雷拉,梁家俊,4,134,135
2025-03-23,ST,grass,好/快,1600,529,01,八仟財陞,3,1,9,71.27,71.83,0.73,22.52,-1.28,94.35,-0.55,11 11 9 1,八仟財陞,滿心星,時時稱心,莫雷拉,梁家俊,4,134,135
2025-05-25,ST,grass,好,2000,706,14,八仟財陞,3,1,10,97.35,99.03,0.68,27.74,4.19,126.77,4.87,10 12 11 14 14,金主,奔放,安可,潘明輝,梁家俊,3,117,135
2025-06-28,ST,grass,好,2000,789,10,八仟財陞,3,1,10,97.51,98.35,-0.0,24.17,0.62,122.52,0.62,10 10 10 10 10,君子傳承,久久為攻,愛心神駒,蔡明紹,梁家俊,3,117,135
2025-09-28,ST,grass,好/快,1600,055,02,八仟財陞,3,1,5,70.7,71.26,0.36,22.85,-0.95,94.11,-0.59,8 9 9 2,幸運派彩,八仟財陞,美麗星晨,艾兆禮,梁家俊,3,120,135
2025-10-19,ST,grass,好/快,1600,113,14,八仟財陞,3,1,13,70.08,71.48,0.58,24.55,0.75,96.03,1.33,13 13 14 14,火焰閃爍,幸運派彩,勁沙塵,何澤堯,梁家俊,3,121,135
2025-11-30,ST,grass,好,1600,226,14,八仟財陞,3,1,13,71.97,72.81,1.91,24.11,0.31,96.92,2.22,14 14 14 14,一定超,美麗星晨,魅力知耀,梁家俊,梁家俊,3,121,135
2025-12-20,ST,grass,好,1600,283,13,八仟財陞,3,1,5,72.02,73.06,2.16,23.69,-0.11,96.75,2.05,13 13 13 13,白鷺金剛,開心勇駒,火焰閃爍,梁家俊,梁家俊,3,120,135
2026-01-11,ST,grass,好/快,1800,342,12,八仟財陞,3,1,1,82.32,83.04,-0.46,24.87,0.87,107.91,0.41,7 6 7 6 12,發財先鋒,桃花開,豐辰,田泰安,梁家俊,3,115,135
2026-02-19,ST,grass,好,1600,446,04,八仟財陞,3,1,2,71.45,71.81,0.71,23.47,-0.33,95.28,0.38,5 5 4 4,勤德天下,本領輝煌,隼風雲,梁家俊,梁家俊,4,135,135
