日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,前段位置,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2023-11-11,ST,grass,好,1400,163,02,紅運帝王,6,8,1,59.06,59.3,0.95,22.45,-0.45,81.75,0.5,4,美好世界,紅運帝王,舞林密碼,巴度,艾兆禮,1,133,126
2023-11-26,ST,grass,好,1600,201,08,紅運帝王,6,8,4,71.84,71.92,1.02,23.49,0.34,95.41,1.36,2,中華盛景,增有,越駿歡欣,潘頓,艾兆禮,1,135,126
2024-01-01,ST,grass,好,1400,303,08,紅運帝王,6,8,3,59.07,59.19,0.94,23.96,1.11,83.15,2.05,4,神虎龍駒,健康愉快,美麗同享,田泰安,艾兆禮,0,115,126
2024-01-21,ST,grass,好,1400,359,05,紅運帝王,6,8,7,58.04,58.52,0.17,23.32,0.22,81.84,0.39,4,綠族無限,巴閉哥,增有,布文,艾兆禮,2,135,126
2024-02-12,ST,grass,好,1400,414,01,紅運帝王,6,8,2,58.28,58.44,0.09,22.98,0.08,81.42,0.17,3,紅運帝王,綠族無限,韋小寶,潘頓,艾兆禮,1,125,126
2024-03-10,ST,grass,好,1400,490,03,紅運帝王,6,8,2,59.55,59.79,1.54,22.56,-0.29,82.35,1.25,3,加州星球,錶之銀河,紅運帝王,賀銘年,艾兆禮,0,126,126
2024-04-07,ST,grass,好,1600,566,03,紅運帝王,6,8,12,70.06,70.46,-0.19,23.96,0.71,94.42,0.52,4,美麗同享,永遠美麗,紅運帝王,賀銘年,艾兆禮,0,123,126
2024-04-28,ST,grass,黏,1600,623,02,紅運帝王,6,8,8,71.92,72.08,1.43,22.68,-0.57,94.76,0.86,4,永遠美麗,紅運帝王,遨遊氣泡,布文,艾兆禮,0,126,126
2024-10-13,ST,grass,好/快,1600,099,08,紅運帝王,6,8,7,71.1,71.62,0.97,22.79,-0.46,94.41,0.51,6,錶之銀河,遨遊氣泡,禪勝輝煌,布文,艾兆禮,0,126,126
2024-11-17,ST,grass,好,1600,189,09,紅運帝王,6,8,1,70.05,70.45,-0.2,23.31,0.06,93.76,-0.14,6,遨遊氣泡,禪勝輝煌,錶之銀河,布文,艾兆禮,0,123,126
2024-12-08,ST,grass,好,1600,246,08,紅運帝王,6,8,12,70.3,70.7,0.05,23.04,-0.21,93.74,-0.16,4,遨遊氣泡,神志勇進,美麗同享,布文,艾兆禮,0,126,126
2025-01-01,ST,grass,好,1400,314,05,紅運帝王,6,8,9,57.68,58.24,-0.01,23.35,0.5,81.59,0.49,5,手機錶霸,飛鷹翱翔,堅又威,潘頓,艾兆禮,0,122,126
2025-01-19,ST,grass,好/快,1600,363,03,紅運帝王,6,8,5,71.34,71.66,1.01,22.39,-0.86,94.05,0.15,6,遨遊氣泡,錶之銀河,紅運帝王,布文,艾兆禮,0,126,126
2025-02-23,ST,grass,好,1400,451,05,紅運帝王,6,8,6,57.73,57.93,-0.32,22.8,-0.05,80.73,-0.37,4,嘉應高昇,驕陽明駒,嫡愛心,巴度,艾兆禮,0,126,126
2025-03-30,ST,grass,好,1600,547,06,紅運帝王,6,8,12,70.76,70.92,0.27,23.55,0.3,94.47,0.57,1,直線力山,錶之銀河,智取神駒,奧爾民,艾兆禮,0,123,126
2025-04-27,ST,grass,好,1600,626,01,紅運帝王,6,8,12,70.21,70.21,-0.44,23.0,-0.25,93.21,-0.69,1,紅運帝王,遨遊氣泡,陽光勇士,布文,艾兆禮,0,126,126
2025-05-31,ST,grass,好,1600,722,06,紅運帝王,6,8,1,71.33,71.57,0.92,22.6,-0.65,94.17,0.27,3,和平波,禪勝輝煌,永遠美麗,布文,艾兆禮,0,135,126
2025-10-19,ST,grass,好/快,1600,110,10,紅運帝王,6,8,13,69.17,69.33,-1.32,23.96,0.71,93.29,-0.61,6,祝願,合夥奔馳,美麗同享,金誠剛,艾兆禮,0,119,126
2025-11-23,ST,grass,好/快,1600,204,12,紅運帝王,6,8,6,69.25,69.61,-1.04,24.22,0.97,93.83,-0.07,6,錶之銀河,陽光勇士,越駿歡欣,布文,艾兆禮,0,128,126
2025-12-14,ST,grass,好,1600,260,03,紅運帝王,6,8,7,69.99,70.35,-0.3,23.46,0.21,93.81,-0.09,5,遨遊氣泡,神志勇進,紅運帝王,布文,艾兆禮,0,126,126
2026-01-25,ST,grass,好/快,1600,381,09,紅運帝王,6,8,1,69.95,70.23,-0.42,25.9,2.65,96.13,2.23,1,浪漫勇士,金鑽貴人,遨遊氣泡,布文,艾兆禮,0,126,126
2026-02-22,ST,grass,好,1400,462,09,紅運帝王,6,8,2,57.69,58.21,-0.04,22.62,-0.23,80.83,-0.27,5,嘉應高昇,驕陽明駒,金鑽貴人,麥文堅,艾兆禮,0,126,126
2026-04-06,ST,grass,好,1600,582,14,紅運帝王,6,8,2,71.6,71.96,1.31,23.56,0.31,95.52,1.62,4,金鑽貴人,祝願,遨遊氣泡,艾兆禮,艾兆禮,0,128,126
