日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2025-01-01,ST,grass,好,1600,317,08,盈好威楓,8,1,9,71.84,72.2,1.3,23.2,-0.6,95.4,0.7,9 6 6 8,大浪圖田,遙遙領先,祝願,潘明輝,巴度,3,115,115
2025-01-31,ST,grass,好,1600,395,12,盈好威楓,8,1,3,73.21,73.81,2.91,22.29,-1.51,96.1,1.4,10 10 11 12,帥帥友福,仁心星,銀亮奔騰,潘明輝,巴度,3,120,115
2025-02-09,ST,grass,好,1800,415,06,盈好威楓,8,1,5,82.45,82.85,-0.65,24.93,0.93,107.78,0.28,4 3 3 3 6,加州動員,和平波,包裝明駒,湯普新,巴度,3,117,115
2025-03-05,HV,grass,好,1650,483,03,盈好威楓,8,1,6,76.82,77.34,1.49,23.67,-0.58,101.01,0.91,5 5 7 3,滿心星,連連歡呼,盈好威楓,金誠剛,巴度,4,135,115
2025-04-02,HV,grass,好/快,1650,553,03,盈好威楓,8,1,10,74.82,74.98,-0.87,23.56,-0.69,98.54,-1.56,2 2 2 3,智勇名駒,香港神駒,盈好威楓,金誠剛,巴度,4,135,115
2025-04-30,HV,grass,好/快,1800,634,03,盈好威楓,8,1,6,84.58,84.78,-0.52,24.18,-0.17,108.96,-0.69,2 3 4 3 3,香港神駒,獎星,盈好威楓,奧爾民,巴度,4,135,115
2025-05-28,HV,grass,好/快,1650,712,01,盈好威楓,8,1,3,75.61,75.61,-0.24,23.86,-0.39,99.47,-0.63,1 1 1 1,盈好威楓,連連歡呼,奔妙星,梁家俊,巴度,4,135,115
2025-06-04,HV,grass,好/黏,1650,735,08,盈好威楓,8,1,8,74.99,75.55,-0.1,25.13,0.88,100.68,0.78,3 4 4 8,瑪瑙,智勇名駒,信心星,梁家俊,巴度,3,126,115
2025-07-16,HV,grass,好/快,1650,845,02,盈好威楓,8,1,5,74.19,74.75,-0.9,23.61,-0.64,98.36,-1.54,7 7 6 2,智勇名駒,盈好威楓,大學生,奧爾民,巴度,3,127,115
2025-10-08,HV,grass,好/快,1650,081,10,盈好威楓,8,1,11,74.25,75.57,-0.08,23.93,-0.32,99.5,-0.4,11 11 11 10,爆笑,超勝無敵,領航天子,奧爾民,巴度,3,125,115
2025-11-15,ST,grass,好,1600,188,07,盈好威楓,8,1,11,71.52,71.6,0.7,23.56,-0.24,95.16,0.46,7 3 3 7,美麗星晨,英駿飛駒,勁沙塵,周俊樂,巴度,3,123,115
2025-11-23,ST,grass,好,2000,201,02,盈好威楓,8,1,7,97.79,97.79,-0.56,23.97,0.42,121.76,-0.14,5 5 2 1 2,天將龍駒,盈好威楓,飛雪神駒,金誠剛,巴度,3,119,115
2025-12-14,ST,grass,好,1800,259,01,盈好威楓,8,1,6,83.3,83.38,-0.12,24.17,0.17,107.55,0.05,2 1 2 2 1,盈好威楓,英駿飛駒,豐辰,麥道朗,巴度,3,128,115
2026-01-11,ST,grass,好/快,1800,342,05,盈好威楓,8,1,13,82.32,82.44,-1.06,24.69,0.69,107.13,-0.37,11 10 2 2 5,發財先鋒,桃花開,豐辰,周俊樂,巴度,3,125,115
2026-01-25,ST,grass,好/快,2000,376,02,盈好威楓,8,1,2,97.39,97.39,-0.91,23.46,0.06,120.85,-0.85,1 1 1 1 2,天將龍駒,盈好威楓,君子傳承,金誠剛,巴度,2,122,115
2026-02-19,ST,grass,好,2000,452,10,盈好威楓,8,1,7,96.92,97.08,-1.27,25.05,1.5,122.13,0.23,2 2 2 2 10,君子傳承,奔放,安可,金誠剛,巴度,3,134,115
