日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-12-08,ST,grass,好,1200,240,10,火焰閃爍,8,2,14,46.18,46.5,-0.4,23.54,1.09,70.04,0.69,4 5 10,開心樂園,神馳,衝上雲霄,馬昆,艾道拿,4,128,120
2025-01-01,ST,grass,好,1200,309,09,火焰閃爍,8,2,6,46.59,46.95,0.05,24.02,1.57,70.97,1.62,10 8 9,膨才,旺旺快駒,金創福威,田泰安,艾道拿,4,125,120
2025-02-16,ST,grass,好/快,1200,428,04,火焰閃爍,8,2,11,45.94,46.66,-0.24,22.42,-0.03,69.08,-0.27,12 11 4,嘉應勇士,喜尊龍,激光諜影,田泰安,艾道拿,4,125,120
2025-03-23,ST,grass,好/快,1400,524,03,火焰閃爍,8,2,8,58.2,59.16,0.56,22.55,-0.85,81.71,-0.29,11 12 12 3,綠野飛馳,小皇爺,火焰閃爍,田泰安,艾道拿,4,124,120
2025-04-20,ST,grass,好/快,1600,604,06,火焰閃爍,8,2,9,69.41,70.73,-0.37,23.13,-0.67,93.86,-1.04,11 12 13 6,光明傳承,開心宇宙,準輝煌,田泰安,艾道拿,4,127,120
2025-05-04,ST,grass,好/快,1600,644,01,火焰閃爍,8,2,13,71.06,71.62,0.52,23.21,-0.59,94.83,-0.07,13 12 7 1,火焰閃爍,龍文鞭影,精算特殊,艾道拿,艾道拿,4,125,120
2025-06-22,ST,grass,好,1600,770,02,火焰閃爍,8,2,1,71.58,72.26,1.16,22.73,-1.07,94.99,0.09,12 12 10 2,英駿飛駒,火焰閃爍,彭玥,潘頓,艾道拿,4,128,120
2025-07-05,ST,grass,好/快,1800,815,01,火焰閃爍,8,2,3,82.96,83.48,-0.17,23.84,-0.36,107.32,-0.53,8 7 5 4 1,火焰閃爍,年年友福,架勢奇爸,潘頓,艾道拿,4,130,120
2025-09-28,ST,grass,好/快,1600,055,04,火焰閃爍,8,2,6,70.7,71.42,0.52,22.91,-0.89,94.33,-0.37,10 10 12 4,幸運派彩,八仟財陞,美麗星晨,田泰安,艾道拿,3,117,120
2025-10-19,ST,grass,好/快,1600,113,01,火焰閃爍,8,2,9,70.08,70.64,-0.26,23.03,-0.77,93.67,-1.03,11 9 8 1,火焰閃爍,幸運派彩,勁沙塵,田泰安,艾道拿,3,116,120
2025-11-15,ST,grass,好,1600,188,04,火焰閃爍,8,2,12,71.52,72.16,1.26,22.8,-1.0,94.96,0.26,14 14 14 4,美麗星晨,英駿飛駒,勁沙塵,田泰安,艾道拿,3,123,120
2025-12-20,ST,grass,好,1600,283,03,火焰閃爍,8,2,4,72.02,72.82,1.92,22.45,-1.35,95.27,0.57,11 11 12 3,白鷺金剛,開心勇駒,火焰閃爍,田泰安,艾道拿,3,125,120
2026-01-11,ST,grass,好/快,1800,342,06,火焰閃爍,8,2,3,82.32,83.2,-0.3,23.95,-0.05,107.15,-0.35,9 8 10 8 6,發財先鋒,桃花開,豐辰,潘頓,艾道拿,3,120,120
2026-01-18,ST,grass,好/快,1600,364,07,火焰閃爍,8,2,11,70.85,71.69,0.79,23.09,-0.71,94.78,0.08,12 12 13 7,錶之宇宙,友瑩光,幸運派彩,田泰安,艾道拿,3,127,120
