日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-27,HV,grass,好,1200,216,03,北地烈馬,3,1,11,46.16,46.16,-1.04,23.94,1.24,70.1,0.2,2 1 3,決一劍,至合拍,北地烈馬,潘頓,梁家俊,4,125,132
2024-12-26,HV,grass,好,1200,290,01,北地烈馬,3,1,2,46.92,46.92,-0.28,22.85,0.15,69.77,-0.13,1 1 1,北地烈馬,妙玲瓏,越駿知己,潘頓,梁家俊,4,127,132
2025-01-15,HV,grass,好,1200,353,05,北地烈馬,3,1,7,46.26,46.26,-0.94,24.16,1.46,70.42,0.52,1 1 5,競馬一心,怡昌精神,三代同心,潘頓,梁家俊,4,134,132
2025-02-09,ST,grass,好,1200,412,05,北地烈馬,3,1,2,46.08,46.08,-0.82,23.48,1.03,69.56,0.21,1 1 5,閃光燈,天下寵兒,巧眼光,黃寶妮,梁家俊,4,124,132
2025-03-19,HV,grass,好/快,1000,520,10,北地烈馬,3,1,8,33.74,34.54,-1.36,22.75,1.45,57.29,0.09,9 10 10,辣得金,勝萬金,鄉村樂韻,黃智弘,梁家俊,4,126,132
2025-04-09,HV,grass,好/快,1200,573,01,北地烈馬,3,1,4,45.98,45.98,-1.22,23.57,0.87,69.55,-0.35,1 1 1,北地烈馬,跑得好快,嫡愛好,周俊樂,梁家俊,4,132,132
2025-05-14,HV,grass,好/快,1200,677,10,北地烈馬,3,1,3,46.09,46.37,-0.68,23.84,1.29,70.21,0.61,2 4 10,翠紅,風雲武士,勇霸龍,周俊樂,梁家俊,3,121,132
2025-05-25,ST,grass,好,1000,705,11,北地烈馬,3,1,2,34.31,34.71,-1.09,23.58,2.93,58.29,1.84,4 5 11,星際快車,精彩福星,英雄豪傑,潘明輝,梁家俊,3,119,132
2025-06-14,ST,dirt,濕快,1200,765,06,北地烈馬,3,1,6,45.14,45.58,-0.92,23.15,1.1,68.73,0.18,6 3 6,智跑得,晶晶日上,包裝伯樂,班德禮,梁家俊,3,118,132
2025-07-05,ST,grass,好/快,1200,816,06,北地烈馬,3,1,12,45.75,45.75,-0.9,23.47,1.12,69.22,0.22,1 1 6,時時歡欣,正氣青驅,天星,鍾易禮,梁家俊,3,115,132
2025-11-26,HV,grass,好/快,1200,216,12,北地烈馬,3,1,10,46.42,47.14,0.09,23.5,0.95,70.64,1.04,10 8 12,安康萬里,盈妍威楓,家樂龍駒,鍾易禮,梁家俊,3,119,132
2025-12-17,HV,grass,好,1200,268,09,北地烈馬,3,1,2,46.62,46.78,-0.42,23.59,0.89,70.37,0.47,3 4 9,閃電星福,天下寵兒,比特星,布文,梁家俊,4,135,132
2026-01-04,ST,grass,好,1400,319,06,北地烈馬,3,1,5,57.9,57.9,-0.7,24.51,1.11,82.41,0.41,1 1 1 6,心雄雄,細水長流,紅衣醒目,梁家俊,梁家俊,4,132,132
2026-01-14,HV,grass,好,1650,348,08,北地烈馬,3,1,7,75.46,75.46,-0.39,25.36,1.11,100.82,0.72,1 1 1 8,康昌之星,頌星,加州星皓,黃智弘,梁家俊,4,125,132
