日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-17,ST,grass,好,1200,184,01,喵喵怪,9,7,2,46.14,46.3,-0.6,22.64,0.19,68.94,-0.41,4 2 1,喵喵怪,多彩多姿,大利好運,霍宏聲,巴度,4,128,120
2024-12-15,ST,grass,好,1200,267,02,喵喵怪,9,7,4,47.31,47.55,0.9,22.15,-0.2,69.7,0.7,4 3 2,駿步騰飛,喵喵怪,英勇快車,蔡明紹,巴度,3,118,120
2025-01-19,ST,grass,好/快,1200,366,08,喵喵怪,9,7,9,47.15,47.59,0.94,22.51,0.16,70.1,1.1,4 6 8,還看今朝,愛馬善,英勇快車,蔡明紹,巴度,3,119,120
2025-03-02,ST,grass,好/快,1200,475,10,喵喵怪,9,7,3,45.84,47.4,0.75,24.43,2.08,71.83,2.83,10 10 10,舉步生風,輝煌精英,真心傳奇,艾兆禮,巴度,3,116,120
2025-04-20,ST,grass,好/快,1200,609,07,喵喵怪,9,7,12,45.93,46.93,0.28,21.99,-0.36,68.92,-0.08,11 11 7,營造組裝,河好運,風再起時,田泰安,巴度,3,120,120
2025-05-10,ST,grass,好,1400,666,05,喵喵怪,9,7,9,58.97,59.09,0.59,22.9,-0.25,81.99,0.34,2 2 2 5,光年魅力,至尊高超,自力更生,潘明輝,巴度,3,117,120
2025-05-25,ST,grass,好,1400,701,08,喵喵怪,9,7,2,57.67,58.23,-0.37,24.31,0.91,82.54,0.54,6 7 8 8,做好自己,嘉應駿昇,新力驕,布文,巴度,4,135,120
2025-06-14,ST,grass,好,1400,762,06,喵喵怪,9,7,5,58.0,58.96,0.36,23.61,0.21,82.57,0.57,4 6 8 6,哈羅威,環球英雄,龍城強將,霍宏聲,巴度,4,133,120
2025-07-09,HV,grass,好/快,1200,821,07,喵喵怪,9,7,6,45.86,46.38,-0.82,23.84,1.14,70.22,0.32,7 6 7,維港激流,智勝攻略,獵寶勤,霍宏聲,巴度,4,131,120
2025-11-02,HV,grass,好/快,1200,142,06,喵喵怪,9,7,12,45.99,47.03,-0.17,22.83,0.13,69.86,-0.04,10 10 6,花好月盈,飛躍成就,大千絕塵,周俊樂,巴度,4,127,120
2025-11-26,HV,grass,好/快,1200,213,01,喵喵怪,9,7,1,47.38,47.62,0.42,22.54,-0.16,70.16,0.26,3 3 1,喵喵怪,官金騏,花好月盈,周俊樂,巴度,4,124,120
2025-12-17,HV,grass,好,1200,270,02,喵喵怪,9,7,12,46.95,47.11,-0.09,22.97,0.27,70.08,0.18,5 3 2,福星小子,喵喵怪,自動自覺,周俊樂,巴度,4,131,120
2026-01-01,ST,grass,好,1200,304,09,喵喵怪,9,7,12,46.63,47.27,0.37,23.17,0.72,70.44,1.09,13 11 9,笑盈喜,海藍寶,仁者荃承,周俊樂,巴度,4,133,120
2026-01-28,HV,grass,好/快,1200,390,02,喵喵怪,9,7,1,46.79,47.31,0.11,22.42,-0.28,69.73,-0.17,6 6 2,福星小子,喵喵怪,雷神太保,梁家俊,巴度,4,135,120
2026-02-11,HV,grass,好/快,1200,431,02,喵喵怪,9,7,5,46.12,46.48,-0.72,23.28,0.58,69.76,-0.14,6 6 2,東來欣賞,喵喵怪,星運少爵,布文,巴度,4,135,120
