日期,馬場,跑道,場地狀況,途程,場次,名次,馬名,馬匹編號,今仗檔位,上仗檔位,該仗步速,該仗頭段,比標準頭段,該仗末段,比標準末段,完成時間,比標準時間,沿途走位,第一名,第二名,第三名,上仗騎師,今仗騎師,賽事班次,上仗負磅,今仗負磅
2024-11-09,ST,grass,好/快,1200,174,12,劍無情,11,13,11,45.17,46.61,-0.04,23.02,0.67,69.63,0.63,10 13 12,耀寶,河好運,風雲武士,鍾易禮,艾兆禮,3,116,119
2024-12-01,ST,grass,好,1400,230,12,劍無情,11,13,6,57.88,59.08,0.58,24.17,1.02,83.25,1.6,11 12 14 12,祝願,遙遙領先,鐵金剛,鍾易禮,艾兆禮,3,121,119
2024-12-15,ST,grass,好,1400,266,12,劍無情,11,13,14,58.9,59.78,1.28,23.1,-0.05,82.88,1.23,14 14 13 12,飛輪步,鈦易搵,大浪圖田,田泰安,艾兆禮,3,117,119
2024-12-29,ST,grass,好,1400,300,11,劍無情,11,13,7,58.62,59.5,0.9,23.86,0.46,83.36,1.36,14 12 14 11,安泰,紫荊拼搏,滿心星,艾道拿,艾兆禮,4,135,119
2025-02-09,ST,grass,好,1400,408,12,劍無情,11,13,11,59.67,60.23,1.63,23.18,-0.22,83.41,1.41,8 6 7 12,威武年代,八仟財陞,醒目先駒,艾道拿,艾兆禮,4,134,119
2025-04-13,ST,grass,好,1400,586,07,劍無情,11,13,4,58.06,58.58,-0.02,23.69,0.29,82.27,0.27,7 6 7 7,笑喜喜,勁沙塵,綫路神驊,鍾易禮,艾兆禮,4,126,119
2025-04-20,ST,grass,好/快,1600,604,13,劍無情,11,13,4,69.41,69.89,-1.21,26.13,2.33,96.02,1.12,1 2 2 13,光明傳承,開心宇宙,準輝煌,潘明輝,艾兆禮,4,130,119
2025-05-04,ST,grass,好/快,1400,645,10,劍無情,11,13,7,58.71,59.15,0.55,23.55,0.15,82.7,0.7,9 10 8 10,嘉應巨昇,紫荊拼搏,多彩多姿,鍾易禮,艾兆禮,4,122,119
2025-05-25,ST,grass,好,1400,701,13,劍無情,11,13,6,57.67,58.75,0.15,24.24,0.84,82.99,0.99,11 11 13 13,做好自己,嘉應駿昇,新力驕,鍾易禮,艾兆禮,4,118,119
2025-06-14,ST,grass,好,1400,760,05,劍無情,11,13,1,58.32,58.56,-0.04,23.47,0.07,82.03,0.03,4 3 3 5,真僥倖,祥龍駒,十二神將,楊明綸,艾兆禮,4,118,119
2025-07-01,ST,grass,好,1400,800,09,劍無情,11,13,13,58.06,59.22,0.62,23.45,0.05,82.67,0.67,12 13 13 9,泰泰精神,中國心,銀騰,鍾易禮,艾兆禮,4,114,119
2025-07-13,ST,grass,好/快,1400,829,05,劍無情,11,13,1,58.08,58.44,-0.51,23.78,0.43,82.22,-0.08,3 7 6 5,綫路神驊,朗日雪峰,快樂老撾,賀銘年,艾兆禮,5,134,119
2025-09-14,ST,grass,好/快,1400,020,08,劍無情,11,13,2,57.7,57.74,-1.21,24.15,0.8,81.89,-0.41,1 1 2 8,凱旋幸運,志在福星,銳一,楊明綸,艾兆禮,5,130,119
2025-10-01,ST,grass,好/快,1200,058,07,劍無情,11,13,11,45.93,46.45,-0.7,23.14,0.74,69.59,0.04,7 7 7,快樂奇兵,魅力星,同喜,楊明綸,艾兆禮,5,129,119
2025-10-15,HV,grass,好/快,1650,095,06,劍無情,11,13,6,75.11,75.11,-0.94,25.79,1.54,100.9,0.6,1 1 1 6,無極勇將,魔法速遞,瀧澤飛駒,楊明綸,艾兆禮,5,128,119
2025-11-02,HV,grass,好/快,1200,141,10,劍無情,11,13,4,46.18,47.1,-0.25,23.7,0.95,70.8,0.7,10 11 10,快樂奇兵,伶俐驫駒,時間寶,楊明綸,艾兆禮,5,124,119
2025-11-30,ST,grass,好,1400,218,09,劍無情,11,13,8,58.48,59.0,0.05,24.37,1.02,83.37,1.07,6 7 9 9,競駿天下,金鑽精靈,全神貫注,艾道拿,艾兆禮,5,122,119
2025-12-20,ST,grass,好,1400,273,03,劍無情,11,13,8,58.87,59.55,0.6,23.22,-0.13,82.77,0.47,9 8 8 3,綫路萬里,飛躍凱旋,劍無情,艾兆禮,艾兆禮,5,120,119
2026-02-19,ST,grass,好,1200,444,03,劍無情,11,13,9,46.53,46.97,-0.18,23.04,0.64,70.01,0.46,9 8 3,金快飛飛,首駿,劍無情,田泰安,艾兆禮,5,120,119
2026-03-08,ST,grass,好,1400,496,01,劍無情,11,13,13,58.37,58.97,0.02,23.53,0.18,82.5,0.2,2 2 2 1,劍無情,志醒大將,全神貫注,艾兆禮,艾兆禮,5,119,119
